y,u,v,w,p
3.46945e-18,3.46944e-18,2.73765e-32,0,-1.77409e-13
0.02,0.0199999,1.57815e-16,0,-1.75287e-13
0.04,0.0399999,3.15629e-16,0,-1.73164e-13
0.06,0.0599998,4.73444e-16,0,-1.71041e-13
0.08,0.0799998,8.46505e-16,0,-1.67125e-13
0.1,0.0999997,1.25032e-15,0,-1.62953e-13
0.12,0.12,1.65413e-15,0,-1.58782e-13
0.14,0.14,2.21112e-15,0,-1.55036e-13
0.16,0.16,2.81918e-15,0,-1.51432e-13
0.18,0.179999,3.42723e-15,0,-1.47829e-13
0.2,0.199999,4.10357e-15,0,-1.44799e-13
0.22,0.219999,4.82087e-15,0,-1.42112e-13
0.24,0.239999,5.53818e-15,0,-1.39426e-13
0.26,0.259999,6.25462e-15,0,-1.37135e-13
0.28,0.279999,6.97019e-15,0,-1.35238e-13
0.3,0.299999,7.68577e-15,0,-1.33341e-13
0.32,0.319999,8.36042e-15,0,-1.31721e-13
0.34,0.339999,8.96687e-15,0,-1.30561e-13
0.36,0.359999,9.57333e-15,0,-1.294e-13
0.38,0.379999,1.01295e-14,0,-1.28389e-13
0.4,0.399999,1.05347e-14,0,-1.27826e-13
0.42,0.419999,1.09399e-14,0,-1.27263e-13
0.44,0.439999,1.13124e-14,0,-1.26728e-13
0.46,0.459999,1.14558e-14,0,-1.26393e-13
0.48,0.479999,1.15992e-14,0,-1.26058e-13
0.5,0.499999,1.17426e-14,0,-1.25723e-13
0.52,0.519999,1.16038e-14,0,-1.25311e-13
0.54,0.539999,1.14651e-14,0,-1.24899e-13
0.56,0.559999,1.13263e-14,0,-1.24487e-13
0.58,0.579999,1.09587e-14,0,-1.23778e-13
0.6,0.599999,1.05583e-14,0,-1.23027e-13
0.62,0.619999,1.0158e-14,0,-1.22276e-13
0.64,0.639999,9.60535e-15,0,-1.21075e-13
0.66,0.659999,9.0019e-15,0,-1.19724e-13
0.68,0.679999,8.39845e-15,0,-1.18373e-13
0.7,0.699999,7.724e-15,0,-1.16542e-13
0.72,0.719999,7.00695e-15,0,-1.14423e-13
0.74,0.739999,6.2899e-15,0,-1.12304e-13
0.76,0.759999,5.57035e-15,0,-1.09764e-13
0.78,0.779999,4.84828e-15,0,-1.06804e-13
0.8,0.799999,4.12621e-15,0,-1.03844e-13
0.82,0.819999,3.44482e-15,0,-1.00559e-13
0.84,0.84,2.83124e-15,0,-9.67312e-14
0.86,0.86,2.21766e-15,0,-9.29033e-14
0.88,0.88,1.65595e-15,0,-8.89256e-14
0.9,0.9,1.24984e-15,0,-8.44985e-14
0.92,0.92,8.43742e-16,0,-8.00713e-14
0.94,0.94,4.68866e-16,0,-7.59121e-14
0.96,0.96,3.12578e-16,0,-7.36282e-14
0.98,0.98,1.56289e-16,0,-7.13443e-14
1,1,0,0,-6.90604e-14
