y,u,v,w
0,0,0,0
0.025,-0.0132353,3.29141e-05,0
0.05,-0.0250282,0.000102069,0
0.075,-0.0356183,0.000200168,0
0.1,-0.0453591,0.000329389,0
0.125,-0.0545648,0.000500437,0
0.15,-0.0634289,0.000750554,0
0.175,-0.0722118,0.0011026,0
0.2,-0.08108,0.0016277,0
0.225,-0.0901828,0.00241609,0
0.25,-0.0995793,0.00353324,0
0.275,-0.109369,0.00515095,0
0.3,-0.119495,0.00728389,0
0.325,-0.129926,0.0100742,0
0.35,-0.140506,0.0136357,0
0.375,-0.151029,0.0179951,0
0.4,-0.161134,0.0233755,0
0.425,-0.170497,0.0296752,0
0.45,-0.178616,0.0369707,0
0.475,-0.184937,0.0451998,0
0.5,-0.189121,0.0541813,0
0.525,-0.190206,0.063801,0
0.55,-0.188161,0.0737116,0
0.575,-0.182435,0.083545,0
0.6,-0.172852,0.0928829,0
0.625,-0.159396,0.101531,0
0.65,-0.141195,0.108797,0
0.675,-0.119035,0.114395,0
0.7,-0.0925898,0.117796,0
0.725,-0.0617294,0.118617,0
0.75,-0.0264493,0.116812,0
0.775,0.0144367,0.111781,0
0.8,0.0599493,0.10441,0
0.825,0.115272,0.0935909,0
0.85,0.183541,0.0796467,0
0.875,0.26668,0.0635389,0
0.9,0.371918,0.0460366,0
0.925,0.499233,0.028857,0
0.95,0.650828,0.0139867,0
0.975,0.821605,0.00395671,0
1,1,0,0
