x,u,v,w,p
0,-5.24779e-09,-1.05936e-08,0,-0.454421
0.0795339,6.23766e-05,0.0788374,0,-0.451271
0.159068,0.000123134,0.157171,0,-0.441977
0.238602,0.000180671,0.234506,0,-0.426775
0.318136,0.000233481,0.310353,0,-0.406051
0.39767,0.000280249,0.384235,0,-0.38033
0.477204,0.000319816,0.455684,0,-0.35026
0.556737,0.000351196,0.524248,0,-0.316603
0.636271,0.000373635,0.589496,0,-0.280207
0.715805,0.000386604,0.651015,0,-0.241992
0.795339,0.000389813,0.708416,0,-0.202924
0.874873,0.000383219,0.761336,0,-0.163987
0.954407,0.000367008,0.809442,0,-0.126164
1.03394,0.000341603,0.852429,0,-0.0904096
1.11347,0.00030766,0.890025,0,-0.0576258
1.19301,0.000266038,0.921993,0,-0.0286393
1.27254,0.000217786,0.948131,0,-0.004181
1.35208,0.00016412,0.968274,0,0.0151327
1.43161,0.000106376,0.982295,0,0.0288151
1.51114,4.59874e-05,0.990104,0,0.0365219
1.59068,-1.55355e-05,0.991654,0,0.0380595
1.67021,-7.66615e-05,0.986934,0,0.0333899
1.74975,-0.000135867,0.975974,0,0.022632
1.82928,-0.000191675,0.958844,0,0.0060582
1.90881,-0.000242698,0.935653,0,-0.0159125
1.98835,-0.000287667,0.906547,0,-0.0427247
2.06788,-0.000325446,0.871711,0,-0.0737013
2.14742,-0.000355079,0.831366,0,-0.10806
2.22695,-0.000375826,0.785767,0,-0.144933
2.30648,-0.000387162,0.735202,0,-0.183389
2.38602,-0.000388774,0.679991,0,-0.222458
2.46555,-0.000380589,0.620484,0,-0.261154
2.54509,-0.000362786,0.557057,0,-0.2985
2.62462,-0.000335785,0.49011,0,-0.333554
2.70415,-0.000300239,0.420067,0,-0.365431
2.78369,-0.000257012,0.34737,0,-0.393327
2.86322,-0.00020717,0.27248,0,-0.416538
2.94276,-0.000151959,0.195868,0,-0.434479
3.02229,-9.27858e-05,0.118019,0,-0.446698
3.10182,-3.12002e-05,0.0394243,0,-0.452885
3.18136,3.11906e-05,-0.0394191,0,-0.452885
3.26089,9.27785e-05,-0.118014,0,-0.446698
3.34042,0.000151956,-0.195863,0,-0.43448
3.41996,0.000207172,-0.272475,0,-0.41654
3.49949,0.000257018,-0.347365,0,-0.393329
3.57903,0.000300246,-0.420062,0,-0.365433
3.65856,0.00033579,-0.490105,0,-0.333556
3.73809,0.000362785,-0.557052,0,-0.298502
3.81763,0.000380583,-0.62048,0,-0.261156
3.89716,0.000388768,-0.679987,0,-0.222461
3.9767,0.000387163,-0.735198,0,-0.183392
4.05623,0.000375833,-0.785764,0,-0.144935
4.13576,0.000355081,-0.831363,0,-0.108062
4.2153,0.000325441,-0.871709,0,-0.0737037
4.29483,0.000287663,-0.906545,0,-0.042727
4.37437,0.000242699,-0.935651,0,-0.0159144
4.4539,0.000191675,-0.958843,0,0.00605655
4.53343,0.000135868,-0.975973,0,0.0226307
4.61297,7.66689e-05,-0.986933,0,0.033389
4.6925,1.55509e-05,-0.991654,0,0.0380589
4.77204,-4.59664e-05,-0.990105,0,0.0365217
4.85157,-0.000106352,-0.982295,0,0.0288153
4.9311,-0.0001641,-0.968275,0,0.0151332
5.01064,-0.000217772,-0.948133,0,-0.00418014
5.09017,-0.000266024,-0.921995,0,-0.0286382
5.16971,-0.000307649,-0.890027,0,-0.0576244
5.24924,-0.000341598,-0.852431,0,-0.0904079
5.32877,-0.000367007,-0.809445,0,-0.126162
5.40831,-0.000383221,-0.76134,0,-0.163985
5.48784,-0.000389814,-0.70842,0,-0.202922
5.56737,-0.000386602,-0.651019,0,-0.241991
5.64691,-0.000373636,-0.5895,0,-0.280205
5.72644,-0.000351204,-0.524253,0,-0.316601
5.80598,-0.000319833,-0.455688,0,-0.350258
5.88551,-0.000280276,-0.38424,0,-0.380328
5.96504,-0.00023351,-0.310358,0,-0.40605
6.04458,-0.000180691,-0.234511,0,-0.426774
6.12411,-0.000123154,-0.157176,0,-0.441976
6.20365,-6.23958e-05,-0.0788427,0,-0.45127
6.28318,-9.41191e-09,-5.27152e-06,0,-0.454421
