r,u_theta,u_r
1.0,1.0,0.0
1.02,0.96718954248366,0.0
1.04,0.9353846153846153,0.0
1.06,0.9045283018867925,0.0
1.08,0.8745679012345678,0.0
1.1,0.8454545454545452,0.0
1.12,0.817142857142857,0.0
1.1400000000000001,0.7895906432748535,0.0
1.16,0.7627586206896552,0.0
1.18,0.7366101694915255,0.0
1.2,0.7111111111111112,0.0
1.22,0.6862295081967212,0.0
1.24,0.6619354838709677,0.0
1.26,0.6382010582010582,0.0
1.28,0.6149999999999999,0.0
1.3,0.5923076923076922,0.0
1.32,0.57010101010101,0.0
1.34,0.5483582089552238,0.0
1.3599999999999999,0.5270588235294119,0.0
1.38,0.5061835748792272,0.0
1.4,0.4857142857142858,0.0
1.42,0.4656338028169015,0.0
1.44,0.44592592592592595,0.0
1.46,0.4265753424657534,0.0
1.48,0.4075675675675676,0.0
1.5,0.38888888888888884,0.0
1.52,0.3705263157894737,0.0
1.54,0.3524675324675324,0.0
1.56,0.33470085470085464,0.0
1.58,0.3172151898734177,0.0
1.6,0.29999999999999993,0.0
1.62,0.2830452674897118,0.0
1.6400000000000001,0.26634146341463405,0.0
1.6600000000000001,0.24987951807228903,0.0
1.6800000000000002,0.23365079365079344,0.0
1.7000000000000002,0.2176470588235293,0.0
1.72,0.2018604651162791,0.0
1.74,0.18628352490421451,0.0
1.76,0.1709090909090909,0.0
1.78,0.1557303370786517,0.0
1.8,0.14074074074074072,0.0
1.82,0.12593406593406586,0.0
1.8399999999999999,0.111304347826087,0.0
1.8599999999999999,0.09684587813620082,0.0
1.88,0.0825531914893618,0.0
1.9,0.06842105263157894,0.0
1.92,0.05444444444444452,0.0
1.94,0.04061855670103098,0.0
1.96,0.02693877551020407,0.0
1.98,0.013400673400673413,0.0
2.0,0.0,0.0
